S.No.,Company,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,ROCE %,ROE %,5Yrs return %,ROE 5Yr %,Profit Var 5Yrs %,CMP / BV,EPS 12M Rs.,PB X PE,Free Cash Flow 5Yrs Rs.Cr.,Sales Var 5Yrs %,Debt / Eq
331.,Endurance Tech.,2614.60,37.30,36721.11,0.44,17.80,14.87,9.98,13.46,12.36,5.38,68.95,200.67,1819.89,17.39,0.19
332.,Laurus Labs,1926.90,95.16,104041.43,0.10,17.76,18.30,24.28,14.85,-1.89,19.63,20.25,1867.99,651.35,7.19,0.48
333.,L T Foods,421.00,22.85,14627.69,0.71,17.74,14.94,44.02,16.62,17.99,3.23,18.44,73.81,1814.16,18.70,0.36
334.,Spectrum Electr.,3173.60,100.10,5004.83,0.00,17.69,19.87,123.43,14.85,48.58,20.67,31.82,2069.07,-126.37,27.24,0.89
335.,Mastek,1656.35,11.71,5134.96,1.45,17.67,15.28,-11.50,17.71,15.30,1.71,134.82,20.02,1646.07,16.52,0.15
336.,Sundram Fasten.,1233.35,41.68,25875.43,0.65,17.60,14.93,5.71,16.13,11.16,6.06,29.09,252.58,1130.10,11.53,0.15
337.,Omnitech Engg.,540.30,64.24,6678.64,0.00,17.56,17.98,,,,9.83,9.04,631.48,,,0.64
338.,Indraprastha Gas,150.15,15.45,21032.09,2.17,17.52,13.33,-12.07,18.11,4.86,1.83,9.72,28.27,3579.85,26.76,0.01
339.,Apollo Hospitals,8700.00,59.37,124894.76,0.23,17.45,21.15,12.29,16.95,76.23,13.20,145.32,783.68,3445.40,19.03,0.90
340.,Concord Biotech,1473.00,54.16,15400.25,0.51,17.43,12.57,,17.81,0.92,7.63,26.95,413.24,635.33,11.33,0.00
341.,Cello World,327.55,23.23,7383.07,0.46,17.41,13.19,,,17.43,2.68,14.09,62.26,373.69,17.23,0.01
342.,Natco Pharma,816.00,12.78,14619.84,0.61,17.39,17.07,-3.27,18.96,28.06,1.58,63.89,20.19,4065.40,14.72,0.08
343.,Global Health,1418.10,66.58,38119.48,0.04,17.37,15.17,,15.96,80.70,9.62,20.69,640.50,769.67,24.97,0.30
344.,General Insuranc,338.20,6.68,59308.35,3.92,17.35,14.64,18.09,12.86,37.15,0.80,50.59,5.34,22812.86,1.75,0.00
345.,Rainbow Child.,1453.70,51.60,14780.08,0.24,17.35,15.90,,19.28,44.04,8.96,28.10,462.34,771.70,21.24,0.54
346.,Saregama India,489.00,41.33,9432.12,0.92,17.29,12.67,4.85,13.24,13.02,5.57,11.51,230.21,68.80,17.38,0.04
347.,Oberoi Realty,1668.30,22.83,60441.06,0.48,17.28,14.55,16.69,14.10,27.13,3.39,72.32,77.39,1235.84,23.97,0.16
348.,Ceigall India,382.25,20.73,6667.74,0.13,17.26,15.71,,23.78,22.87,3.11,18.37,64.47,-1513.50,35.73,0.61
349.,FSN E-Commerce,336.20,363.12,96662.36,0.00,17.23,15.29,,5.89,27.74,66.94,0.89,24307.25,-74.87,32.64,0.86
350.,Adani Power,202.00,27.34,389773.59,0.00,17.22,21.07,59.27,33.42,58.41,6.00,7.39,164.04,30695.55,15.65,0.84
351.,Paras Defence,1339.20,116.91,10811.84,0.07,17.19,12.38,,10.31,40.02,14.88,11.72,1739.62,-44.41,27.16,0.04
352.,Avenue Super.,3680.00,78.49,240033.03,0.00,17.18,12.94,-2.06,13.65,21.98,9.81,46.95,769.99,-2169.74,23.31,0.10
353.,Mahanagar Gas,1071.70,14.68,10584.06,2.80,17.14,12.32,-1.82,18.17,4.12,1.65,72.99,24.22,1642.65,30.80,0.03
