S.No.,Company,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,ROCE %,ROE %,5Yrs return %,ROE 5Yr %,Profit Var 5Yrs %,CMP / BV,EPS 12M Rs.,PB X PE,Free Cash Flow 5Yrs Rs.Cr.,Sales Var 5Yrs %,Debt / Eq
1.,SPARC,188.20,3.82,6104.70,0.00,164.99,281.12,-8.93,,65.28,4.57,48.79,17.46,-1406.88,49.34,0.42
2.,P & G Hygiene,7495.60,30.76,24326.74,3.06,157.20,114.58,-11.81,83.11,14.44,32.29,243.59,993.24,3572.69,7.40,0.00
3.,Tips Music,652.75,39.00,8369.51,1.99,118.47,87.56,42.25,77.82,36.68,32.10,16.79,1251.90,649.00,32.91,0.02
4.,ICICI AMC,3065.00,43.48,151545.05,0.89,115.10,85.80,,80.08,21.51,36.32,100.95,1579.19,9708.17,21.89,0.00
5.,Colgate-Palmoliv,1825.00,36.26,49631.86,2.63,108.02,82.73,1.18,74.74,5.34,31.33,49.55,1136.03,6859.42,4.51,0.03
6.,Gillette India,7246.20,35.35,23612.62,2.48,90.69,66.50,3.76,44.19,23.20,24.95,205.02,881.98,1930.12,13.04,0.00
7.,Sanofi Consumer,4055.30,34.98,9303.42,1.85,89.93,71.60,,,,26.85,115.50,939.21,,,0.06
8.,Waaree Renewab.,806.20,16.49,8420.11,0.12,85.38,69.12,85.51,69.29,190.31,8.96,48.93,147.75,555.47,237.56,0.12
9.,Nestle India,1356.85,69.65,261510.99,0.88,84.14,73.17,6.34,97.54,10.62,49.28,20.02,3432.35,11149.83,11.64,0.08
10.,P & G Health Ltd,5420.15,27.01,8999.36,2.86,83.88,61.86,-0.29,34.96,5.07,17.15,215.00,463.22,1017.62,0.76,0.02
11.,Timex Group,605.00,68.46,6107.96,0.00,82.85,157.63,65.22,,64.10,81.01,8.50,5545.94,105.77,41.48,0.95
12.,GE Vernova T&D,4252.00,80.69,108946.71,0.24,77.44,57.40,99.90,27.10,85.62,40.47,50.97,3265.52,2756.45,12.45,0.01
13.,Multi Comm. Exc.,3174.00,52.51,80959.12,0.25,71.35,56.26,57.44,27.54,48.68,28.41,60.46,1491.81,4495.19,42.59,0.00
14.,Jeena Sikho,500.25,26.37,6237.03,0.90,70.74,60.01,,48.36,84.51,13.30,19.03,350.72,199.77,42.62,0.27
15.,Hindustan Zinc,561.00,14.02,237204.99,1.96,69.25,76.38,10.86,50.26,12.09,10.54,40.08,147.77,52672.00,12.43,0.39
16.,International Gemological Instit,313.10,22.20,13535.23,0.81,69.25,55.81,,,,9.09,14.11,201.80,,,0.10
17.,Augmont Enterpri,832.25,22.78,7598.55,0.00,68.52,50.93,,47.70,77.20,,39.99,,120.50,35.47,0.02
18.,Siemens Ener.Ind,3028.70,70.71,107944.75,0.13,67.75,50.47,,,,22.42,41.78,1585.32,,,0.04
19.,Esab India,5763.05,42.85,8868.96,1.30,64.68,48.76,20.69,49.26,27.01,20.66,144.15,885.28,606.96,17.23,0.01
20.,Page Industries,34676.95,49.51,38694.65,1.59,64.39,54.29,0.85,48.00,18.30,25.74,677.65,1274.39,2861.36,13.12,0.18
21.,TCS,2250.00,15.15,813626.06,2.84,63.03,51.81,-10.42,49.36,9.45,7.59,137.64,114.99,210582.00,10.22,0.11
22.,Glaxosmi. Pharma,2816.30,45.17,47561.84,2.02,61.41,45.61,12.38,47.63,15.12,21.04,63.05,950.38,5538.36,5.49,0.01
23.,Sigma Advanced System,804.90,91.89,15280.97,0.00,60.82,90.63,108.33,24.24,172.38,30.29,9.08,2783.35,185.79,52.62,0.71
24.,Tenneco Clean,512.90,33.41,20717.23,0.00,60.76,44.41,,,,17.29,14.89,577.66,,,0.04
25.,Castrol India,187.75,17.22,18578.68,4.66,60.27,45.86,5.80,44.84,10.45,9.73,10.74,167.55,4061.58,13.81,0.03
26.,BSE,3310.00,47.68,135009.63,0.30,59.99,46.05,89.13,28.20,69.36,20.23,69.54,964.57,6492.98,52.05,0.00
27.,HBL Engineering,719.80,24.89,19948.35,0.42,59.30,45.34,70.90,26.60,117.77,9.02,28.16,224.51,1003.39,29.35,0.03
28.,Sanofi India,3130.00,21.02,7206.87,2.40,57.51,43.03,-8.72,36.50,-7.38,8.72,140.78,183.29,2045.10,-8.74,0.02
29.,Anand Rathi Wea.,2183.90,78.44,36271.59,0.30,57.47,45.30,,41.12,54.69,35.37,27.85,2774.42,1044.34,35.95,0.08
30.,Ingersoll-Rand,4330.45,49.79,13673.36,1.74,57.11,43.04,35.14,36.69,29.53,22.20,84.74,1105.34,772.84,17.65,0.01
31.,SBI Funds Mgt.,536.50,35.25,109225.64,0.00,56.50,43.02,,36.53,28.88,,15.06,,7944.56,25.13,0.00
32.,Britannia Inds.,4951.00,45.72,119061.94,1.83,56.00,53.52,3.97,55.72,6.32,23.36,108.11,1068.02,9258.81,7.83,0.27
33.,Kanohar Elect.,,38.52,5004.61,,54.32,42.19,,25.51,75.74,,,,73.82,31.30,0.10
34.,Indian Energy Ex,112.00,20.48,9980.83,3.12,51.79,39.40,-11.22,40.44,17.82,7.64,5.47,156.47,1864.65,13.92,0.01
35.,3M India,31750.00,81.27,35832.09,0.51,50.01,29.98,4.66,21.88,29.60,20.23,512.82,1644.09,2000.24,16.03,0.10
36.,Cams Services,717.35,39.25,17807.77,1.74,48.27,36.96,-0.14,41.42,14.85,14.72,18.31,577.76,1658.77,15.95,0.04
37.,Marico,792.00,54.41,102731.58,0.51,47.05,42.82,7.06,39.26,8.56,24.42,14.54,1328.69,6368.00,11.08,0.13
38.,I R C T C,458.55,26.57,36684.00,1.96,46.10,34.43,-9.47,38.44,53.88,8.51,17.41,226.11,3880.09,46.35,0.02
39.,Oracle Fin.Serv.,11700.00,29.86,101913.25,3.42,45.28,32.61,19.68,28.68,8.42,13.02,392.15,388.78,10052.11,9.01,0.00
40.,Atlanta Electric,1660.00,58.55,12781.37,0.00,45.28,31.71,,36.14,96.12,13.74,28.28,804.48,136.84,36.46,0.05
41.,Emmvee Photovol.,328.55,17.85,22740.43,0.00,44.83,51.12,,50.55,158.17,6.16,18.98,109.96,-1280.23,64.11,0.10
42.,Abbott India,26062.80,34.25,55305.31,2.01,44.80,34.35,4.46,33.53,17.49,11.60,759.87,397.30,5194.95,9.96,0.04
43.,Nippon Life Ind.,1153.10,44.98,73624.68,1.86,43.80,34.48,21.19,28.27,17.59,15.79,25.66,710.23,3961.87,15.56,0.02
44.,Lohia Corp,535.50,22.80,5656.53,0.00,43.77,44.59,,,,,18.30,,,,0.34
45.,Manipal Payment,,31.76,7858.17,,43.28,45.14,,,,,,,,,0.19
46.,HDFC AMC,2409.00,34.96,103124.57,2.24,42.88,32.93,7.93,29.78,16.62,11.18,68.86,390.85,8520.29,16.02,0.00
47.,Garden Reach Sh.,2358.80,33.78,27042.81,0.55,42.82,31.60,64.44,24.05,36.07,10.29,69.89,347.60,-175.61,43.75,0.01
48.,Hindustan Copper,492.05,39.36,47596.29,0.58,42.38,32.90,33.29,21.60,55.16,14.21,11.78,559.31,2360.46,11.49,0.03
49.,Travel Food,1227.40,33.91,16138.42,0.84,42.35,35.31,,33.01,53.92,11.20,36.15,379.79,1389.58,59.02,0.17
50.,N S E,,49.42,441787.50,,40.58,28.62,,35.39,,,41.62,,60840.23,,0.01
51.,Infosys,1076.00,14.00,436455.51,4.46,39.95,31.89,-8.75,30.67,9.29,4.80,74.24,67.20,129337.00,12.20,0.10
52.,Glenmark Pharma.,2374.80,21.50,67086.49,0.21,39.77,23.56,34.67,1.74,19.36,6.38,63.71,137.17,-253.02,9.19,0.06
53.,Natl. Aluminium,351.30,9.55,64449.46,3.27,39.59,29.42,29.46,23.14,34.88,2.99,36.76,28.55,12197.20,14.78,0.00
54.,Cummins India,4871.00,55.19,134625.82,1.35,39.50,30.24,36.41,25.77,30.83,15.93,85.40,879.18,5402.32,22.73,0.00
55.,ITC,258.00,16.34,322771.52,5.62,38.91,29.32,3.59,32.18,9.62,4.46,15.84,72.88,75530.14,9.87,0.03
56.,Motherson Wiring,35.06,37.06,23250.60,1.65,38.86,32.36,,40.75,9.55,10.76,0.95,398.77,1860.10,23.86,0.11
57.,Waaree Energies,2555.00,18.24,73424.99,0.16,38.78,32.83,,31.62,143.12,5.09,132.67,92.84,-1454.54,68.52,0.22
58.,Hyundai Motor I,2140.00,35.11,173803.85,0.98,38.40,29.89,,30.34,23.58,8.69,60.93,305.11,16341.55,11.55,0.05
59.,Solar Industries,19250.00,87.40,174056.70,0.06,38.08,32.64,57.87,31.80,44.60,27.75,220.07,2425.35,1452.02,31.36,0.24
60.,Central Mine Pla,203.74,22.25,14549.06,0.52,38.06,28.35,,31.80,14.11,6.37,8.59,141.73,2001.78,9.25,0.00
61.,Lalithaa Jewel,321.70,18.85,18011.18,0.00,37.98,40.20,,26.70,43.72,,20.18,,56.56,28.15,0.68
62.,Prudent Corp.,3251.50,54.68,13399.65,0.11,37.48,28.65,,33.39,37.45,15.25,59.18,833.87,706.11,35.38,0.04
63.,Netweb Technol.,4614.00,105.24,27429.64,0.07,37.48,32.79,,31.69,90.30,36.32,45.87,3822.32,756.81,72.54,0.39
64.,Billionbrains,197.59,50.82,123984.76,0.00,37.32,28.81,,25.10,,12.84,3.94,652.53,47.27,,0.03
65.,Gokul Agro,218.69,15.36,6457.81,0.00,36.69,30.05,61.09,26.44,53.33,4.54,14.25,69.73,284.38,23.53,0.41
66.,Bharat Electron,381.00,45.18,277712.74,0.65,36.44,27.45,41.08,25.84,23.52,11.61,8.41,524.54,8402.04,14.37,0.00
67.,Force Motors,17250.00,20.66,22729.05,0.29,36.05,26.09,62.66,12.95,62.41,5.42,950.08,111.98,2710.84,35.43,0.00
68.,Mazagon Dock,2236.00,31.61,90330.93,0.81,35.98,29.17,77.03,29.49,33.49,9.25,70.85,292.39,16.80,26.30,0.05
69.,Tata Motors,427.15,21.19,157382.78,0.94,35.90,34.02,,,,12.35,,261.70,,,0.44
70.,Manorama Indust.,1987.10,47.29,12495.94,0.04,35.41,40.25,44.21,24.58,74.04,17.07,44.25,807.24,-162.00,46.29,0.51
71.,Thyrocare Tech.,544.45,48.07,8687.88,1.71,35.38,28.40,5.08,20.47,8.37,14.80,11.08,711.44,637.23,10.88,0.09
72.,Sedemac Mechatro,2950.70,110.88,13038.55,0.00,35.31,26.93,,17.77,69.38,29.01,23.45,3216.63,-66.07,34.52,0.16
73.,Hero Motocorp,5181.00,18.71,103623.70,3.57,35.22,28.10,12.08,21.22,15.51,4.79,272.33,89.62,18433.01,8.90,0.04
74.,Life Insurance,391.50,8.25,495738.02,2.55,35.14,37.82,,51.94,80.80,2.80,47.49,23.10,38316.30,7.19,0.00
75.,Fujiyama Power,421.90,31.05,12980.07,0.00,35.14,36.63,,33.57,72.96,10.15,9.80,315.16,-726.61,45.65,0.41
76.,Coal India,419.00,8.30,258703.69,6.32,34.97,28.16,20.90,41.80,19.61,2.17,50.63,18.01,97727.97,13.34,0.12
77.,C P C L,1470.95,5.25,21892.98,4.21,34.94,31.85,66.26,33.29,64.26,1.97,280.30,10.34,10461.78,23.23,0.18
78.,Ajanta Pharma,3504.10,38.51,43705.87,0.91,34.51,27.14,19.05,23.41,11.62,9.67,90.84,372.39,2705.53,13.54,0.06
79.,Sharda Motor,933.15,15.98,5356.43,2.14,34.47,25.25,24.62,28.50,36.44,4.08,57.83,65.20,764.31,14.36,0.04
80.,eClerx Services,1894.85,24.47,17837.16,0.05,34.42,28.36,19.56,26.26,20.97,6.96,77.23,170.31,2542.67,21.35,0.15
81.,Persistent Systems,5475.00,43.23,86033.57,0.73,34.36,27.24,24.28,24.99,35.85,11.01,122.17,475.96,4470.66,28.63,0.06
82.,Suzlon Energy,42.85,18.57,58374.70,0.00,34.15,39.67,48.35,,45.17,6.16,2.31,114.39,2905.67,37.98,0.06
83.,Triveni Turbine,547.00,50.14,17405.85,0.78,34.12,25.23,31.60,24.46,25.08,12.02,10.58,602.68,999.01,25.43,0.02
84.,TD Power Systems,731.00,83.06,22842.01,0.14,34.02,24.72,86.70,19.96,43.39,21.31,8.80,1770.01,110.94,25.61,0.02
85.,Cupid,284.25,278.16,38221.98,0.00,33.88,27.64,160.96,19.20,31.27,84.78,1.02,23582.40,5.48,20.09,0.13
86.,Transrail Light,404.90,13.01,5433.38,0.74,33.56,19.98,,19.50,33.29,2.38,30.17,30.96,615.14,25.93,0.30
87.,Inox India,1992.80,70.36,18094.20,0.10,33.48,26.13,,28.90,22.03,16.18,28.08,1138.42,224.32,21.73,0.07
88.,Premier Energies,945.00,25.75,42883.01,0.11,33.32,42.35,,40.36,132.73,9.94,36.73,255.96,-1781.63,61.99,0.86
89.,Corona Remedies,2217.90,64.06,13563.49,0.45,33.29,29.53,,22.25,23.33,18.18,32.46,1164.61,98.93,19.49,0.22
90.,Kennametal India,4234.10,47.49,9307.80,0.95,33.21,24.48,24.25,16.65,24.21,10.90,89.18,517.64,219.40,13.24,0.00
91.,Polycab India,8143.50,42.80,122581.83,0.58,33.21,23.05,27.23,21.45,23.68,10.21,190.23,436.99,4591.93,26.86,0.02
92.,The Bombay Burmah,1416.90,7.98,9888.76,1.20,32.98,18.66,3.64,-5.56,26.22,1.40,184.91,11.17,8714.64,7.84,0.23
93.,Prec. Wires (I),440.10,46.01,8034.08,0.28,32.94,22.80,66.71,17.90,31.38,10.42,9.58,479.42,150.47,25.78,0.38
94.,Cemindia Project,1205.50,34.43,20712.32,0.25,32.76,27.80,71.13,18.99,112.23,8.63,35.02,297.13,966.81,29.83,0.42
95.,CRISIL,4590.60,37.99,33596.09,0.54,32.55,24.46,10.27,28.27,14.40,10.27,120.92,390.16,2851.24,12.99,0.10
96.,LG Electronics,1629.60,60.60,110578.97,0.00,32.27,24.69,,29.60,1.95,14.43,26.88,874.46,4979.11,10.28,0.06
97.,Aditya AMC,1037.90,30.01,30300.06,2.46,32.23,25.15,,27.32,13.17,7.42,34.87,222.67,3064.77,11.34,0.02
98.,C D S L,1311.00,58.14,27399.90,0.97,31.98,24.53,13.65,28.61,17.90,13.98,22.55,812.80,1349.07,27.21,0.00
99.,Hind.Aeronautics,4695.00,33.73,314390.46,0.96,31.97,23.97,45.66,26.61,22.99,7.65,139.38,258.03,42532.46,7.78,0.00
100.,Apar Inds.,16562.10,57.55,69364.65,0.36,31.81,20.26,89.88,22.42,44.46,12.34,294.12,710.17,972.27,29.09,0.18
101.,APL Apollo Tubes,2115.85,47.81,58762.00,0.40,31.75,25.41,17.26,23.42,27.37,11.09,44.27,530.21,2378.70,22.11,0.09
102.,Action Const.Eq.,1125.65,30.67,13399.85,0.18,31.63,22.81,32.77,24.38,40.38,6.66,36.69,204.26,1102.20,21.73,0.00
103.,Acutaas Chemical,3266.20,69.37,26791.02,0.08,31.56,24.04,38.48,18.21,45.77,16.17,47.17,1121.71,-343.85,31.50,0.02
104.,Quality Power El,1355.20,78.82,10506.27,0.07,31.53,25.11,,23.59,,19.36,17.21,1525.96,49.19,,0.07
105.,Inventurus Knowl,1783.00,40.18,30684.23,0.00,31.51,31.42,,35.59,34.23,10.93,44.50,439.17,1569.09,42.03,0.27
106.,Pidilite Inds.,1522.00,58.47,154866.93,0.76,31.02,23.92,4.85,22.07,16.69,14.30,26.03,836.12,7890.16,14.89,0.04
107.,Banco Products,588.35,17.44,8403.30,3.91,30.91,30.23,40.99,26.55,31.73,5.00,34.57,87.20,600.01,20.52,0.36
108.,SML Mahindra,6261.55,57.86,9049.33,0.38,30.90,35.40,61.72,22.08,26.15,17.45,108.08,1009.66,126.12,36.86,0.56
109.,Sonata Software,279.80,15.51,7846.29,2.83,30.67,28.25,-2.74,31.37,16.10,4.12,16.52,63.90,1950.51,20.41,0.38
110.,Vikram Solar,163.46,16.43,5925.18,0.00,30.56,21.37,,15.51,65.32,1.87,9.85,30.72,785.61,24.43,0.19
111.,Eicher Motors,7453.00,35.13,204329.68,1.10,30.53,23.96,21.11,22.18,32.76,8.14,210.41,285.96,12436.38,21.83,0.02
112.,Engineers India,262.35,18.78,14731.48,1.91,30.40,23.37,28.95,19.48,15.36,4.69,13.95,88.08,391.66,4.55,0.01
113.,HCL Technologies,1255.00,18.77,340311.03,4.31,30.40,23.81,-0.15,23.44,9.42,4.53,64.20,85.03,93096.00,11.54,0.07
